clave_unidad,nombre,simbolo
18,Tambor de cincuenta y cinco galones (EUA),
19,Camión cisterna,
26,Tonelada real,
29,Libra por mil pies cuadrados,Lb / kft²
30,Día de potencia de caballos por tonelada métrica de aire seco,
31,Pescar,
32,Kilogramo por tonelada métrica seca del aire,
36,Pie cúbico por minuto por pie cuadrado,Ft³ / (min / ft²)
44,Bolsa a granel de quinientos kilos,
45,Bolsa a granel de trescientos kilos,
46,Bolsa a granel de cincuenta libras,
47,Bolso de cincuenta libras,
48,Carga masiva,
53,Kilogramo teórico,
54,Tonelada teórica (UK),
62,Por ciento por 1000 horas,
63,Tasa de fracaso en el tiempo,
64,"Libra por pulgada cuadrada, calibre",
66,Oersted,Oe
69,Escala específica de prueba,
71,Voltios amperios por libra,
72,Vatio por libra,
73,Amperios por centímetro,
76,Gauss,Gs
78,Kilogauss,Ks
84,Kilopound-force por pulgada cuadrada,Klbf / in²
90,Saybold segundo universal,
92,Calorías por centímetro cúbico,
93,Calorías por gramo,Cal / g
94,Unidad de curl,
95,Veinte mil galones,
96,Diez mil galones (US),
97,Diez kilos de tambor,
98,Quince kilos de tambor,
05,Ascensor,
06,Pequeño aerosol,
08,Montón de calor,
10,Grupos,
11,Equipos,
13,Raciones,
14,Shot,
15,"Palo, medida militar.",
16,Tambor de 115 kilogramos,
17,Tambor de cien libras,
1A,Milla de carros,
1B,Recuento de automóviles,
1C,Conteo de locomotoras,
1D,Caboose count,
1E,Coche vacío,
1F,Milla de tren,
1G,Galón del uso del combustible (los EUA),
1H,Milla de caboose,
1I, Tipo de interés fijo,
1J,Tonelada milla,
1K,Milla locomotora,
1L,Recuento total de automóviles,
1M,Milla total del coche,
1X,Cuarto de milla,
20, Contenedores de veinte pies,
21, Contenedor de cuarenta pies,
22,Decilitro por gramo,dl/g
23,Gramo por centímetro cúbico,g/cm³
24,Libra teórica,
25,Gramo por centímetro cuadrado,g/cm²
27,Tonelada teórica,
28,Kilogramo por metro cuadrado,kg/m²
2A,Radián por segundo,rad/s
2B,Radián por segundo cuadrado,rad/s²
2C,Roentgen,R
2G,Voltios CA,V
2H,Voltios CD,V
2I,Unidad térmica británica (tabla internacional) por hora,BtuIT/h
2J,Centímetro cúbico por segundo,cm³/s
2K,Pie cúbico por hora,ft³/h
2L,Pie cúbico por minuto,ft³/min
2M,Centímetro por segundo,cm/s
2N,Decibel,dB
2P,Kilobyte,kbyte
2Q,Kilobecquerel,kBq
2R,Kilocurie,kCi
2U,Megagramo,Mg
2V,Megagrama por hora,Mg / h
2X,Metro por minuto,m/min
2Y,Milliroentgen,mR
2Z,Milivoltio,mV
33,Kilopascal por grtr,kPa·m²/g
34,Kilopascal por milímetro,kPa/mm
35,Milímetro por un segundo centímetro cuadrado,ml/(cm²·s)
37,Onza por pie cuadrado,oz/ft²
38,"Onzas por pie cuadrado por 0,01 pulgadas",oz/(ft²/cin)
3B,Megajoule,MJ
3C,Manmonth,
3E,Libra por libra de producto,
3G,Libra por pieza de producto,
3H,Kilogramo por kilogramo de producto,
3I,Kilogramo por pedazo de producto,
40,Mililitro por segundo,ml/s
41,Mililitro por minuto,ml/min
4B,Gorra,
4C,Centistokes,cSt
4E,Veinte pack,
4G,Microlitro,µl
4H,Micra,µm
4K,Miliamperio,mA
4L,Megabyte,Mbyte
4M,Miligramo por hora,mg/h
4N,Megabequerel,MBq
4O,Microfaradio,µF
4P,Newton por metro,N/m
4Q,Onza pulgada,oz·in
4R,Onza pie,oz·ft
4T,Picofaradio,pF
4U,Libra por hora,lb/h
4W,Tonelada (EUA) por hora,ton (US) /h
4X,Kilolitro por hora,kl/h
56,Sitas,
57,Malla,
58, kilogramo neto,
59,Parte por millón,ppm
5A,Barril por minuto,barrel (US)/min
5B,Batch,
5C,Galón (US) por mil,
5E,Mmscf/day,
